id,repository,title,date_label,status,themes,event_ids,catalog_url,local_path,sha256,rights,caution
LOC-2020638022,Library of Congress,"Korean soldiers (under arms)--looking N.E. to the gate of the old Royal Palace--Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽;궁궐·제례;복식,,https://www.loc.gov/item/2020638022/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638023,Library of Congress,"House building in Korea--wall of stone and mud against a framework of grass ropes and sticks, Seoul",1904 (목록 연도),catalogued,성문·성곽;건축,,https://www.loc.gov/item/2020638023/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638024,Library of Congress,"House building in Korea--wall of stone and mud against a framework of grass ropes and sticks, Seoul",1904 (목록 연도),catalogued,성문·성곽;건축,,https://www.loc.gov/item/2020638024/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638025,Library of Congress,"House building in Korea--wall of stone and mud against a framework of grass ropes and sticks, Seoul",1904 (목록 연도),catalogued,성문·성곽;건축,,https://www.loc.gov/item/2020638025/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638026,Library of Congress,"Jumbled roofs of Seoul, capital of the ""Hermit Kingdom""--N.W. from a tower near center of city--Korea",1904 (목록 연도),catalogued,건축,,https://www.loc.gov/item/2020638026/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638027,Library of Congress,Charming town of Mapo on the Han River--looking west from residence of Customs Commissioner of Korea,1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2020638027/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638028,Library of Congress,"Jumbled roofs of Seoul, capital of the ""Hermit Kingdom""--N.W. from a tower near center of city--Korea",1904 (목록 연도),catalogued,건축,,https://www.loc.gov/item/2020638028/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638100,Library of Congress,"Little Korean boys, of the middle class, in the northern suburbs of Seoul, Korea",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2020638100/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638019,Library of Congress,"A game of ""Go-ban,"" or oriental chess--Yun-Woong-Niel, Korean minister of war (left), in his home, Seoul",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2020638019/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638020,Library of Congress,"Outside the South gate, on one of the main highways of the Hermit capital, Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽,,https://www.loc.gov/item/2020638020/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2020638021,Library of Congress,"Looking past pillars of ancient arch, through new Independence Arch--N. to Perkin Pass, Seoul, Korea",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2020638021/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665565,Library of Congress,"Farmers coming to market at Seoul through the Pekin Pass, the highway to Manchuria and China, Korea",1904 (목록 연도),downloaded_verified,상업,,https://www.loc.gov/item/2003665565/,data/photos/seoul1907/images/loc-2003665565.jpg,b4fee9004525866c3f7ec05321d0a7ba6b3515a79099b71d950111529193441d,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665564,Library of Congress,"Farmers coming to market at Seoul through the Pekin Pass, the highway to Manchuria and China, Korea",1904 (목록 연도),catalogued,상업,,https://www.loc.gov/item/2003665564/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665581,Library of Congress,The old city wall built over the mountains north of Seoul - from inside looking out - Korea,1904 (목록 연도),catalogued,성문·성곽,,https://www.loc.gov/item/2003665581/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003666489,Library of Congress,Monks at a village monastery of Korea,1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2003666489/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003666460,Library of Congress,"Much envied winners of the arrow-shooting contest - the national game of the highest aristocracy, Korea",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2003666460/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2002708705,Library of Congress,"Typical houses outside the city - from City Wall S.E. over street leading to South Gate - Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽;건축,,https://www.loc.gov/item/2002708705/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2002708704,Library of Congress,"A game of ""Go-ban,"" or oriental chess - Yun-Woong-Niel, Korean Minister of War (left), in his home, Seoul",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2002708704/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2002708700,Library of Congress,"Crude industries of Korea, where man-power is cheaper than mills - sawing lumber in a lumber yard of Seoul",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2002708700/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2002708701,Library of Congress,"Looking past pillars of ancient arch, through new Independence Arch - N. to Pekin Pass, Seoul, Korea",1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2002708701/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2002708703,Library of Congress,A primitive grist-mill of the Korean peasants--beating turnip seed into meal--suburbs of Seoul,1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2002708703/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665577,Library of Congress,"South Gate, N.E. over the city, showing French and American Churches, Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽,,https://www.loc.gov/item/2003665577/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665576,Library of Congress,"South Gate, N.E. over the city, showing French and American Churches, Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽,,https://www.loc.gov/item/2003665576/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665578,Library of Congress,"South Gate, N.E. over the city, showing French and American Churches, Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽,,https://www.loc.gov/item/2003665578/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665592,Library of Congress,"Jumbled roofs of Seoul, capital of the ""Hermit Kingdom"" - N.W. from a tower near center of city--Korea",1904 (목록 연도),catalogued,건축,,https://www.loc.gov/item/2003665592/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665593,Library of Congress,"Typical houses outside the city--from city wall S.E. over street leading to South Gate, Seoul, Korea",1904 (목록 연도),catalogued,성문·성곽;건축,,https://www.loc.gov/item/2003665593/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665594,Library of Congress,"Typical Korean gentlemen before the temple of the God of War, seoul, Korea",1904 (목록 연도),catalogued,궁궐·제례,,https://www.loc.gov/item/2003665594/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665560,Library of Congress,Charming town of Mapo on the Han River--looking west from residence of Customs Commissioner of Korea,1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2003665560/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665570,Library of Congress,"Looking out through the West Gate, by which visitors enter Seoul - showing American electric tramway, Korea",1904 (목록 연도),catalogued,전차;성문·성곽,S1907-02;S1907-03,https://www.loc.gov/item/2003665570/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665571,Library of Congress,"Looking out through the West Gate, by which visitors enter Seoul - showing American electric tramway, Korea",1904 (목록 연도),catalogued,전차;성문·성곽,S1907-02;S1907-03,https://www.loc.gov/item/2003665571/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665573,Library of Congress,"Looking out through the West Gate, by which visitors enter Seoul - showing American electric tramway, Korea",1904 (목록 연도),catalogued,전차;성문·성곽,S1907-02;S1907-03,https://www.loc.gov/item/2003665573/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665572,Library of Congress,"Looking out through the West Gate, by which visitors enter Seoul - showing American electric tramway, Korea",1904 (목록 연도),catalogued,전차;성문·성곽,S1907-02;S1907-03,https://www.loc.gov/item/2003665572/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665574,Library of Congress,"Among the queer Koreans - a pack train in the suburbs outside Seoul - looking W. to East Gate, Korea",1904 (목록 연도),catalogued,성문·성곽;운송,,https://www.loc.gov/item/2003665574/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665575,Library of Congress,"Among the queer Koreans - a pack train in the suburbs outside Seoul - looking W. to East Gate, Korea",1904 (목록 연도),catalogued,성문·성곽;운송,,https://www.loc.gov/item/2003665575/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
LOC-2003665561,Library of Congress,Charming town of Mapo on the Han River - looking west from residence of Customs Commissioner of Korea,1904 (목록 연도),catalogued,거리·생활,,https://www.loc.gov/item/2003665561/,,,item_review_required,발행 연도와 촬영일을 구분. 원제의 인물 식별·장소·차별적 표현은 당시 출판자의 설명이며 검증된 현대 해설이 아님.
